slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
infiltrate|infiltrate|verb|IN-fil-trayt · UK /ˈɪn.fɪl.treɪt/ · US /ˈɪn.fɪl.treɪt/|C1|2.81|enter gradually and quietly from within the gaps|不是正面衝進去，而是從縫裡慢慢滲入。|表示潛入、滲透某個群體、區域或系統。|invade|入侵|像雨水不是砸破屋頂，而是先從細縫一滴一滴滲進來。|資安防護、組織風險與軍事敘事|infiltrate the network|工程 / 安全|infiltrate the group|社會 / 組織|infiltrate the system|政治 / 敘事|悄悄滲入,先從細縫一滴滴進來,invade,security,systems,verb,infiltrate
infuse|infuse|verb|in-FYOOZ · UK /ɪnˈfjuːz/ · US /ɪnˈfjuːz/|C1|2.86|fill something with a quality that spreads through it|不是塞進一點，而是讓那種氣質整體滲開。|表示注入、灌注，使某物充滿特定能量、風味或意義。|fill|填滿|像熱茶裡滴進香草，香氣不是停在一點，而是慢慢走滿整杯。|品牌氣質、教學設計與敘事情緒|infuse with energy|管理 / 團隊|infuse the design with warmth|設計 / 視覺|infuse meaning|寫作 / 敘事|注入氣質,香氣慢慢走滿整杯,fill,design,meaning,verb,infuse
inhibit|inhibit|verb|in-HIB-it · UK /ɪnˈhɪb.ɪt/ · US /ɪnˈhɪb.ɪt/|C1|2.94|hold back natural movement, growth, or expression|不是完全關掉，而是讓它發不太出來。|表示抑制、阻止某種自然反應、成長或表達。|restrain|抑制|像踩著煞車往前開，車還動，但整體被一直拉住。|生理反應、創意表達與制度限制|inhibit growth|科學 / 研究|inhibit creativity|工作 / 團隊|inhibit the response|醫療 / 生理|抑制發揮,踩著煞車往前開,restrain,growth,expression,verb,inhibit
inimical|inimical|adjective|ih-NIM-ih-kul · UK /ɪˈnɪm.ɪ.kəl/ · US /ɪˈnɪm.ɪ.kəl/|C2|2.36|harmful or hostile to a desired outcome|不是不配合而已，而是和你的目標本身相沖。|表示不利於、敵對於某個人、價值或結果。|hostile|敵對|像土壤看似平靜，實際卻對種子極不友善，怎麼埋都長不起來。|政策評估、工作環境與健康條件|inimical to progress|管理 / 評估|inimical conditions|健康 / 環境|inimical to trust|人際 / 關係|本質相沖,土壤對種子很不友善,hostile,conditions,progress,adjective,inimical
inscrutable|inscrutable|adjective|in-SKROO-tuh-bul · UK /ɪnˈskruː.tə.bəl/ · US /ɪnˈskruː.t̬ə.bəl/|C2|2.44|impossible to read or understand from the outside|不是神秘有趣，而是你怎麼看都看不穿。|表示難以理解、難以解讀的。|mysterious|神秘|像一扇沒有把手也沒有窗的門，站在外面只能猜裡面是什麼。|人物神情、系統行為與市場動向|inscrutable expression|人物 / 描寫|inscrutable silence|人際 / 情緒|inscrutable behavior|分析 / 觀察|看不穿,一扇沒有把手的門,mysterious,expression,behavior,adjective,inscrutable
instigate|instigate|verb|IN-stih-gayt · UK /ˈɪn.stɪ.ɡeɪt/ · US /ˈɪn.stə.ɡeɪt/|C1|2.70|trigger action by pushing others into motion|不是事情自己起來，而是有人在背後把火點著。|表示煽動、促成、挑起某件事的開始。|start|開始|像第一根火柴不大，但它讓整片乾草都知道接下來會燒起來。|群體行動、衝突升高與改革推動|instigate a protest|公共 / 社會|instigate the change|組織 / 改革|instigate conflict|人際 / 衝突|點起開頭那根火柴,乾草知道要燒起來,start,change,conflict,verb,instigate
intercede|intercede|verb|in-ter-SEED · UK /ˌɪn.təˈsiːd/ · US /ˌɪn.t̬ɚˈsiːd/|C2|2.39|step between sides to plead or help|不是旁觀，而是主動站到中間替某人說話。|表示代為求情、居中斡旋。|intervene|介入|像兩扇快要猛然合上的門，中間有人伸手先把它們撐開。|衝突調停、法律求情與人際協調|intercede on behalf of someone|法務 / 協調|intercede in the dispute|人際 / 衝突|intercede with the manager|職場 / 溝通|站到中間求情,先把快合上的門撐開,intervene,mediation,advocacy,verb,intercede
intermittent|intermittent|adjective|in-ter-MIT-uhnt · UK /ˌɪn.təˈmɪt.ənt/ · US /ˌɪn.t̬ɚˈmɪt.ənt/|C1|2.89|stopping and starting in spaced intervals|不是持續存在，而是一陣一陣地回來。|表示斷斷續續、間歇性的。|occasional|偶爾的|像窗外雨點不是連成線，而是一下敲幾聲又停幾分鐘。|故障排查、症狀觀察與天氣描述|intermittent signal|工程 / 訊號|intermittent pain|健康 / 醫療|intermittent rain|自然 / 天氣|一陣一陣,雨點敲幾聲又停,occasional,signal,symptoms,adjective,intermittent
inundate|inundate|verb|IN-un-dayt · UK /ˈɪn.ʌn.deɪt/ · US /ˈɪn.ʌn.deɪt/|C1|2.74|overwhelm with flood or excessive quantity|不是多一點，而是多到整個空間都被蓋住。|表示洪水淹沒，或大量資訊、請求、情緒湧入。|flood|淹沒|像信件不是塞滿信箱，而是一路從槽口溢到地板上。|訊息量、災害場景與客服壓力|inundate the inbox|工作 / 溝通|inundated with requests|營運 / 服務|floodwaters inundate|災害 / 新聞|大量淹沒,信件一路溢到地板,flood,requests,disaster,verb,inundate
irate|irate|adjective|eye-RAYT · UK /aɪˈreɪt/ · US /aɪˈreɪt/|C1|2.66|very angry and ready to show it|不是不高興而已，而是怒氣已經寫在臉上。|表示盛怒、惱火。|angry|生氣|像壓力鍋的閥門已經開始尖叫，再多一點火就要掀蓋。|客訴場景、人物描寫與情緒回應|irate customer|服務 / 客訴|irate response|人際 / 溝通|sound irate|敘事 / 描寫|怒氣外露,壓力鍋閥門開始尖叫,angry,customer,emotion,adjective,irate
