slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
abdicate|abdicate|verb|AB-dih-kayt · UK /ˈæb.dɪ.keɪt/ · US /ˈæb.də.keɪt/|C2|2.90|step away from power or responsibility instead of holding it|不是單純離開，而是把原本握在手上的位置、權力或責任正式交出去。|表示放棄王位、職位或責任位置，不再繼續掌權或承擔。|resign|辭去職務|像把一直握著的權杖放回桌上，轉身不再發號施令。|權力交接、組織治理與責任退出|abdicate the throne|政治 / 歷史|abdicate responsibility|管理 / 倫理|abdicate leadership|組織 / 團隊|放棄權位,交出責任,resign,power,leadership,verb,abdicate
abide|abide|verb|uh-BYD · UK /əˈbaɪd/ · US /əˈbaɪd/|C1|3.21|stay with a rule or decision over time|不是口頭接受一下，而是之後真的照那個規則、承諾或判決去做。|表示遵守規則、遵循約定，並在時間中持續照辦。|obey|服從指令|像簽了合約後不是放著，而是每天都照那條線走。|規範遵守、合約承諾與制度執行|abide by the rules|制度 / 規範|abide by the decision|程序 / 組織|abide by the agreement|合約 / 協作|遵守約定,持續照辦,obey,rules,agreement,verb,abide
abound|abound|verb|uh-BOWND · UK /əˈbaʊnd/ · US /əˈbaʊnd/|C1|2.95|exist in large numbers all around|不是只有幾個，而是多到你一看四周都是。|表示某物大量存在、四處可見，數量多得很明顯。|exist|存在|像草地上的露珠一樣，不用特地找，視線所及到處都有。|機會觀察、訊息流動與自然場景|opportunities abound|職涯 / 成長|rumors abound|媒體 / 社群|wildflowers abound|自然 / 描寫|大量存在,四處都是,exist,opportunity,observation,verb,abound
abrasive|abrasive|adjective|uh-BRAY-siv · UK /əˈbreɪ.sɪv/ · US /əˈbreɪ.sɪv/|C1|2.84|rough in texture or manner that scrapes against others|不是直接而已，而是帶著磨擦感，讓人一接觸就覺得被刮到。|表示表面粗糙，或說話做事方式生硬刺人、容易引發反感。|harsh|尖銳或嚴厲|像砂紙不是故意打人，但一碰就會把表面磨得不舒服。|材料特性、人際互動與回饋語氣|abrasive surface|材料 / 工程|abrasive tone|溝通 / 人際|abrasive feedback|職場 / 協作|磨擦感強,刺人粗糙,harsh,materials,communication,adjective,abrasive
abstruse|abstruse|adjective|ub-STROOS · UK /əbˈstruːs/ · US /əbˈstruːs/|C2|2.48|hard to grasp because it stays far from ordinary intuition|不是單純專業，而是抽象到一般入口幾乎抓不到。|表示觀念、理論或文本過於深奧難懂，不容易直覺進入。|complicated|複雜難解|像地圖上只有極細的等高線，沒有人帶路就不知從哪裡下腳。|理論閱讀、技術文件與抽象討論|abstruse theory|學術 / 理論|abstruse argument|寫作 / 辯論|abstruse manual|技術 / 文件|深奧難懂,入口很少,complicated,theory,reading,adjective,abstruse
accede|accede|verb|ak-SEED · UK /əkˈsiːd/ · US /əkˈsiːd/|C2|2.71|agree by yielding to a request or pressure|不是主動提議，而是在對方要求、情勢或壓力下點頭接受。|表示同意某個要求或請求，多半帶有讓步意味。|agree|同意|像門本來卡著不開，最後在外力持續推動下慢慢鬆開。|談判回應、權限請求與政策妥協|accede to the request|溝通 / 協商|accede to demands|政治 / 談判|accede to the proposal|組織 / 決策|讓步同意,壓力下點頭,agree,negotiation,policy,verb,accede
accolade|accolade|noun|AK-uh-layd · UK /ˈæk.ə.leɪd/ · US /ˈæk.ə.leɪd/|C1|2.74|formal or public mark of praise|不是普通稱讚，而是被公開看見、帶有份量的肯定。|表示獎項、榮譽或正式的高度讚譽。|praise|稱讚|像胸前別上一枚勳章，不只是有人喜歡，而是整個場域都承認你的分量。|公開表揚、作品評價與職涯肯定|receive an accolade|職涯 / 成就|critical accolades|出版 / 評論|industry accolade|產業 / 獎項|公開肯定,正式榮譽,praise,recognition,career,noun,accolade
acquiesce|acquiesce|verb|ak-wee-ES · UK /ˌæk.wiˈes/ · US /ˌæk.wiˈes/|C2|2.56|stop resisting and go along with something|不是真心認同，而是把反對收回去，改成默默接受。|表示不再反抗、雖不情願但還是接受某件事。|consent|同意|像手原本頂著門，最後慢慢放掉力道，讓門自己關上。|壓力回應、家庭協商與制度服從|acquiesce to the plan|組織 / 決策|acquiesce in silence|人際 / 情緒|acquiesce to pressure|權力 / 協商|默默接受,收回反抗,consent,pressure,compliance,verb,acquiesce
adroit|adroit|adjective|uh-DROYT · UK /əˈdrɔɪt/ · US /əˈdrɔɪt/|C2|2.63|skillful in a nimble and controlled way|不是單純會做，而是動作與判斷都靈巧、乾淨、拿捏得住。|表示技巧熟練而俐落，能在複雜情境中巧妙應對。|skilled|熟練|像手指在狹小零件間滑過去，沒有多餘力道卻每一步都到位。|操作技巧、社交應對與策略處理|adroit handling|管理 / 協調|adroit negotiator|談判 / 商務|adroit response|人際 / 溝通|靈巧熟練,拿捏得住,skilled,technique,negotiation,adjective,adroit
affable|affable|adjective|AF-uh-bul · UK /ˈæf.ə.bəl/ · US /ˈæf.ə.bəl/|C1|2.77|warmly easy to talk to|不是表面客氣，而是讓人很自然就敢靠近和開口。|表示態度親切、隨和、容易相處。|polite|有禮貌|像門已經半開著，你還沒敲第二下，裡面的人就先笑著請你進來。|人際印象、團隊氛圍與接待情境|affable manner|人際 / 印象|affable host|接待 / 場合|affable colleague|職場 / 團隊|親切好相處,自然可親,polite,teamwork,impression,adjective,affable
alacrity|alacrity|noun|uh-LAK-ri-tee · UK /əˈlæk.rə.ti/ · US /əˈlæk.rə.t̬i/|C2|2.42|brisk and cheerful readiness to act|不是只有快，而是帶著爽快、毫不拖泥帶水的願意。|表示迅速而樂意的反應，常帶有精神飽滿的感覺。|eagerness|熱切|像訊息一到，手不是被逼著伸過去，而是立刻精神很好地接住。|工作反應、服務態度與學習投入|respond with alacrity|職場 / 溝通|show alacrity|服務 / 態度|tackle it with alacrity|學習 / 執行|爽快迅速,樂意接住,eagerness,response,attitude,noun,alacrity
alienate|alienate|verb|AY-lee-uh-nayt · UK /ˈeɪ.li.ə.neɪt/ · US /ˈeɪ.li.ə.neɪt/|C1|3.11|push someone away until connection weakens|不是一時不合，而是讓對方慢慢覺得自己不再被接納。|表示使人疏離、疏遠，或讓某群體對你失去認同感。|offend|冒犯|像本來握著的手沒有突然甩開，而是一點一點鬆到最後滑掉。|團隊關係、品牌溝通與社會認同|alienate users|產品 / 使用者|alienate the audience|媒體 / 表達|alienate close allies|政治 / 關係|使人疏離,慢慢推遠,offend,relationships,audience,verb,alienate
allay|allay|verb|uh-LAY · UK /əˈleɪ/ · US /əˈleɪ/|C2|2.60|calm a fear or worry enough to lower its edge|不是完全解決，而是先把尖銳的擔心放下來。|表示減輕疑慮、恐懼或不安，使情緒沒那麼緊繃。|ease|減輕|像把緊拉的弦鬆半格，聲音還在，但不再刺耳。|風險說明、危機溝通與醫療安撫|allay fears|風險 / 溝通|allay concerns|管理 / 組織|allay anxiety|醫療 / 情緒|緩和疑慮,先把刺放下,ease,communication,anxiety,verb,allay
allot|allot|verb|uh-LOT · UK /əˈlɒt/ · US /əˈlɑːt/|C1|2.99|assign a fixed share out of a limited total|不是隨手給一些，而是從有限總量中切出一份明確額度。|表示分配時間、資源、空間或名額給特定對象。|assign|分派|像一塊大布被仔細量過後裁成幾塊，每塊都有對應用途。|資源分配、排程管理與預算規劃|allot enough time|排程 / 工作|allot resources|管理 / 組織|allot seats|活動 / 程序|切出份額,明確分配,assign,resources,scheduling,verb,allot
aloof|aloof|adjective|uh-LOOF · UK /əˈluːf/ · US /əˈluːf/|C1|2.73|keep distance and emotional reserve|不是害羞，而是刻意或自然地保持距離，不讓人太靠近。|表示態度冷淡、疏離、保持距離感。|shy|害羞|像窗簾沒有全拉上，但總留著一條讓人進不去的縫。|人物描寫、社交互動與領導風格|aloof attitude|人際 / 印象|aloof manager|職場 / 領導|remain aloof|社交 / 描寫|保持距離,不讓靠近,shy,personality,social,adjective,aloof
