slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
brood|brood|verb|BROOD · UK /bruːd/ · US /bruːd/|C1|3.06|dwell darkly on something until it grows heavier|不是想一下就過，而是反覆把同一件事含在心裡，越想越沉。|表示悶著頭反覆思索某件令人不快的事，常帶有陰鬱情緒。|worry|擔心|像把一塊石頭一直放在掌心磨，明明沒變大，卻越握越重。|情緒描寫、衝突回想與人物心理|brood over the mistake|情緒 / 反省|brood in silence|敘事 / 人物|brood on the loss|關係 / 情感|悶著反覆想,越想越沉,worry,emotion,reflection,verb,brood
brusque|brusque|adjective|BRUSK · UK /bruːsk/ · US /bruːsk/|C1|2.75|abrupt and clipped without softening|不是有效率而已，而是快得幾乎不留情面。|表示說話或態度唐突、生硬、簡短到讓人覺得被推開。|blunt|直接|像門只開一道縫，話還沒說完就被迅速關上。|職場互動、人物描寫與回應語氣|brusque reply|溝通 / 回應|brusque manner|人際 / 印象|brusque instruction|工作 / 協作|生硬短促,門只開一道縫,blunt,communication,impression,adjective,brusque
bungle|bungle|verb|BUNG-gul · UK /ˈbʌŋ.ɡəl/ · US /ˈbʌŋ.ɡəl/|C1|2.73|handle clumsily and make a mess|不是單純失敗，而是因為處理笨拙，把事情越弄越亂。|表示拙劣地搞砸、辦壞某件事。|fumble|笨手笨腳地弄|像手上工具都拿反了，修理還沒開始，零件先掉滿地。|執行失誤、專案處理與新聞評論|bungle the launch|產品 / 專案|bungle the repair|工程 / 維護|bungle the response|公共 / 危機|拙劣搞砸,越弄越亂,fumble,execution,repair,verb,bungle
burgeon|burgeon|verb|BUR-jun · UK /ˈbɜː.dʒən/ · US /ˈbɝː.dʒən/|C2|2.61|begin growing quickly outward|不是穩穩增加，而是像一口氣冒出很多新枝節。|表示迅速萌發、擴張或蓬勃發展。|expand|擴大|像春天一到，枝頭不是多一片葉，而是一整片都爆開。|市場成長、創意延展與情緒擴散|burgeon into a movement|公共 / 社會|burgeon quickly|商業 / 市場|burgeoning interest|學習 / 興趣|迅速萌發,枝頭一口氣爆開,expand,growth,interest,verb,burgeon
byzantine|byzantine|adjective|BIZ-un-teen · UK /bɪˈzæn.tiːn/ · US /ˈbɪz.ən.tiːn/|C2|2.39|overly intricate with hidden turns and layers|不是複雜而已，而是彎來彎去，規則像迷宮一樣。|表示結構、程序或權力關係極端繁複曲折。|complex|複雜|像走進沒有窗的走廊群，每個轉角都像還藏著另一條規則。|官僚流程、權力網絡與舊系統|byzantine procedure|制度 / 流程|byzantine rules|法規 / 管理|byzantine system|工程 / 舊系統|迷宮式繁複,每個轉角還藏規則,complex,process,systems,adjective,byzantine
cajole|cajole|verb|kuh-JOHL · UK /kəˈdʒəʊl/ · US /kəˈdʒoʊl/|C1|2.67|persuade with charm, coaxing, and pressure|不是硬逼，而是半哄半推，把對方慢慢帶到你要的方向。|表示以甜言、勸誘或柔性壓力說服他人。|persuade|說服|像把不肯動的抽屜一邊輕拉一邊晃，最後它自己鬆開。|人際說服、家長互動與商務推進|cajole someone into helping|人際 / 協作|cajole a response|溝通 / 追蹤|cajole the team|管理 / 協調|半哄半推,把抽屜慢慢晃開,persuade,negotiation,teamwork,verb,cajole
canvass|canvass|verb|KAN-vus · UK /ˈkæn.vəs/ · US /ˈkæn.vəs/|C1|2.58|go around collecting views, support, or information|不是坐著等回覆，而是主動一個一個去摸清意見。|表示逐一拜訪、徵詢、拉票或蒐集看法。|survey|調查|像拿著夾板走過整排門口，一戶一戶敲門確認風向。|選舉活動、需求訪談與意見蒐集|canvass for support|公共 / 選舉|canvass the neighborhood|研究 / 調查|canvass opinions|產品 / 訪談|逐一徵詢,一戶一戶敲門,survey,interviews,election,verb,canvass
capitulate|capitulate|verb|kuh-PICH-uh-layt · UK /kəˈpɪtʃ.ə.leɪt/ · US /kəˈpɪtʃ.ə.leɪt/|C2|2.55|surrender after resistance runs out|不是爽快讓步，而是撐了一段之後終於放棄抵抗。|表示投降、屈服，停止繼續對抗。|yield|讓步|像堤防擋了很久，最後還是被持續上漲的水位蓋過。|談判僵局、戰爭敘事與內心拉扯|capitulate to pressure|談判 / 權力|capitulate at last|敘事 / 轉折|capitulate without terms|歷史 / 衝突|撐到最後放棄,堤防終究被蓋過,yield,pressure,conflict,verb,capitulate
cede|cede|verb|SEED · UK /siːd/ · US /siːd/|C2|2.63|give up control, land, or power formally|不是暫借，而是把原本屬於自己的控制權正式交出去。|表示割讓、讓出主導權、地位或領土。|give|給出|像手上鑰匙不是借人保管，而是整串交出去不再拿回來。|權力移轉、合約讓渡與政治談判|cede control|管理 / 權責|cede territory|政治 / 歷史|cede market share|商業 / 競爭|正式讓出,整串鑰匙交出去,give,power,control,verb,cede
censure|censure|verb|SEN-sher · UK /ˈsen.ʃər/ · US /ˈsen.ʃɚ/|C2|2.49|express strong official disapproval|不是私下念兩句，而是公開而且帶有權威地譴責。|表示正式譴責、嚴厲責難某人或某行為。|criticize|批評|像紅筆不是畫在草稿邊角，而是蓋在文件正中央的醒目印章。|議會程序、組織紀律與公共回應|censure the official|公共 / 政治|censure the conduct|治理 / 倫理|formally censure|程序 / 組織|正式譴責,紅筆蓋在正中央,criticize,governance,ethics,verb,censure
