slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
aberration|aberration|noun|ab-uh-RAY-shuhn · UK /ˌæb.əˈreɪ.ʃən/ · US /ˌæb.ɚˈreɪ.ʃən/|C2|2.87|a departure that breaks the expected pattern|不是一般變化，而是和原本規律明顯岔開的一個異常點。|表示偏離常態、規律或預期模式的異常現象。|anomaly|異常或不尋常現象|像平整布面上突然鼓起一個突點，讓你一眼就知道那裡不對。|數據分析、品質檢查與行為觀察|statistical aberration|分析 / 數據|genetic aberration|科學 / 生物|aberration in the logs|工程 / 除錯|異常偏離,脫離常軌,anomaly,data,pattern,noun,aberration
abridge|abridge|verb|uh-BRIJ · UK /əˈbrɪdʒ/ · US /əˈbrɪdʒ/|C2|2.53|shorten something without losing its backbone|不是隨便刪短，而是把主幹留下來後壓縮篇幅。|表示刪節、縮編文字或內容，同時保留核心結構。|summarize|摘要整理|像把長河引到較窄的渠道裡，水量少了，但流向還在。|出版編輯、法規文字與學習材料|abridged edition|出版 / 編輯|abridge the text|寫作 / 教學|abridge the transcript|法務 / 文件|刪節縮編,保留主幹,summarize,editing,text,verb,abridge
absolve|absolve|verb|ab-ZOLV · UK /əbˈzɒlv/ · US /əbˈzɑːlv/|C2|2.71|release someone from blame or obligation|不是忘記這件事，而是正式把責任或罪責從他身上卸下來。|表示免除罪責、責任或義務。|forgive|原諒|像肩上的重物被一個明確的動作拿走，整個人終於挺直。|法務判斷、組織責任與人際寬恕|absolve someone of blame|法務 / 判斷|absolve the team of responsibility|管理 / 組織|absolve yourself of guilt|心理 / 情緒|免除責任,卸下罪責,forgive,responsibility,judgment,verb,absolve
adamant|adamant|adjective|AD-uh-muhnt · UK /ˈæd.ə.mənt/ · US /ˈæd.ə.mənt/|C1|3.08|unyieldingly firm despite pressure|不是大聲堅持，而是再多外力來推也不鬆動。|表示立場堅定、拒絕讓步。|firm|堅定|像釘進石裡的樁，風再大也不改位置。|談判立場、品質要求與價值堅持|remain adamant|溝通 / 談判|adamant about quality|工程 / 品質|adamant that it matters|評論 / 立場|寸步不讓,立場很硬,firm,quality,negotiation,adjective,adamant
analogous|analogous|adjective|uh-NAL-uh-gus · UK /əˈnæl.ə.ɡəs/ · US /əˈnæl.ə.ɡəs/|C2|2.77|similar in role or structure rather than surface|不是看起來像，而是在功能或關係上對得起來。|表示在結構、功能或情境上相似對應。|similar|相似|像兩把不同形狀的鑰匙，卻都在各自的門上扮演同樣角色。|跨領域理解、系統設計與教學比喻|analogous to the problem|分析 / 教學|analogous structure|科學 / 研究|analogous case|法務 / 推理|結構對應,功能相似,similar,reasoning,structure,adjective,analogous
appease|appease|verb|uh-PEEZ · UK /əˈpiːz/ · US /əˈpiːz/|C2|2.83|calm anger or demand enough to lower tension|不是根治問題，而是先把對立的火降下來。|表示安撫怒氣、需求或衝突，使緊張程度下降。|pacify|安撫平息|像把快要溢出的鍋邊火關小，內容還在，但不再噴出來。|危機溝通、顧客處理與外交協調|appease critics|公關 / 評論|appease customer frustration|服務 / 產品|appease the tension|外交 / 協商|平息怒氣,先降火,pacify,conflict,customers,verb,appease
broker|broker|verb|BROH-ker · UK /ˈbrəʊ.kər/ · US /ˈbroʊ.kɚ/|C1|3.12|arrange an agreement between separate sides|不是自己拍板，而是讓原本分開的人終於接上。|表示居中促成交易、協議或合作。|arrange|安排促成|像把兩條各自收緊的繩子在中間打成一個能承重的結。|商務談判、跨部門協作與外交協議|broker a deal|商業 / 談判|broker peace|外交 / 協商|broker an agreement|組織 / 協作|居中促成,談成協議,arrange,negotiation,coordination,verb,broker
candor|candor|noun|KAN-der · UK /ˈkæn.dər/ · US /ˈkæn.dɚ/|C2|2.74|honesty that speaks plainly without evasive polish|不是不修飾的粗魯，而是願意直接把真實情況攤開。|表示坦率、直言不諱的真誠。|honesty|誠實|像霧氣被窗戶一擦開，外面的景象沒有比較美，但終於看得見。|回饋對話、領導溝通與寫作語氣|speak with candor|溝通 / 回饋|refreshing candor|人際 / 評價|rare candor|寫作 / 訪談|坦率直白,不繞彎,honesty,feedback,leadership,noun,candor
cherish|cherish|verb|CHER-ish · UK /ˈtʃer.ɪʃ/ · US /ˈtʃer.ɪʃ/|C1|3.44|hold something with protective value and affection|不是單純喜歡，而是把它當成值得細心保護的東西。|表示珍惜、珍愛某個人、時刻、關係或機會。|value|重視|像把一張舊照片夾進書裡，不是因為它昂貴，而是因為你不想它磨損。|關係維繫、回憶整理與團隊文化|cherish the memory|情感 / 回憶|cherish the opportunity|成長 / 職涯|cherish the partnership|合作 / 團隊|珍惜珍愛,小心護住,value,relationships,memory,verb,cherish
clout|clout|noun|KLOWT · UK /klaʊt/ · US /klaʊt/|C1|3.18|influence that actually makes others respond|不是名聲好聽，而是真的能推動結果。|表示影響力、話語權或實際能動員他人的力量。|influence|影響力|像門把不是裝飾，手一壓下去，整扇門就真的會動。|組織權力、產業地位與公共討論|political clout|政治 / 公共|wield clout|組織 / 權力|industry clout|商業 / 產業|話語權,實際影響力,influence,power,industry,noun,clout
