slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
abstain|abstain|verb|ub-STAYN · UK /əbˈsteɪn/ · US /əbˈsteɪn/|C1|3.11|hold back by deliberate non-participation|不是做不到，而是有意識地選擇不加入、不碰或不投票。|表示出於原則、策略或克制而刻意不參與某件事。|avoid|避開或不去做|像手停在按鈕上方，知道能按，卻故意不按下去。|投票決策、飲食控制與風險選擇|abstain from voting|公共 / 決策|abstain from alcohol|健康 / 生活|abstain on the motion|會議 / 程序|克制,不參與,avoid,decision,discipline,verb,abstain
acclimate|acclimate|verb|AK-luh-mayt · UK /ˈæk.lə.meɪt/ · US /ˈæk.lə.meɪt/|C1|2.88|adjust yourself to a new environment over time|不是立刻適應，而是身體、節奏或判斷慢慢跟新環境對上。|表示逐步適應新的氣候、制度、工具或工作節奏。|adapt|適應|像鏡頭換到不同光線後，需要一段時間才慢慢對焦。|新環境適應、工具切換與跨團隊合作|acclimate to the pace|工作 / 團隊|acclimate to the climate|生活 / 環境|acclimate new hires|管理 / 組織|適應新環境,慢慢對焦,adapt,environment,teamwork,verb,acclimate
aggregate|aggregate|verb|AG-rih-gayt · UK /ˈæɡ.rɪ.ɡeɪt/ · US /ˈæɡ.rə.ɡeɪt/|C1|3.53|gather separate units into a larger whole|不是只是收集，而是把分散資料或結果加總成可判讀的整體。|表示把個別元素彙整、累加或聚合起來。|collect|收集|像滿桌零件各自沒結論，裝進同一個總成後才看見形狀。|資料分析、系統監控與結果彙整|aggregate the data|分析 / 資料|aggregate demand|經濟 / 市場|aggregate metrics|系統 / 監控|彙整,聚合,collect,data,metrics,verb,aggregate
arbitrate|arbitrate|verb|AR-bih-trayt · UK /ˈɑː.bɪ.treɪt/ · US /ˈɑːr.bə.treɪt/|C1|3.08|step in to settle a dispute from the middle|不是偏袒一邊，而是進場幫雙方把爭議收束到可接受的結論。|表示居中仲裁、裁決或協調爭端。|mediate|居中協調|像兩條互相拉扯的線，需要一個人把張力重新分配。|合約爭議、團隊衝突與程序裁決|arbitrate the dispute|法務 / 合約|arbitrate between teams|管理 / 組織|arbitrate a claim|程序 / 保險|仲裁,居中裁決,mediate,conflict,contract,verb,arbitrate
assuage|assuage|verb|uh-SWAYJ · UK /əˈsweɪdʒ/ · US /əˈsweɪdʒ/|C2|2.62|ease an inner pain or fear without erasing it at once|不是完全解決，而是先把焦慮、悲傷或壓力往下安撫。|表示緩和情緒、疼痛或擔憂，使其沒那麼尖銳。|soothe|安撫|像把沸水從大火移到小火，熱還在，但不再翻滾。|情緒安撫、危機溝通與風險說明|assuage fears|風險 / 溝通|assuage concerns|組織 / 管理|assuage the pain|醫療 / 日常|安撫,緩和焦慮,soothe,emotion,communication,verb,assuage
attune|attune|verb|uh-TOON · UK /əˈtjuːn/ · US /əˈtuːn/|C2|2.67|bring yourself into finer sensitivity with something|不是知道而已，而是把感受器調細，開始聽見原本忽略的訊號。|表示使自己或他人對某種節奏、需求或變化更敏感。|adjust|調整|像收音機旋鈕微微一轉，原本的雜訊忽然變成可辨識的聲音。|使用者需求、溝通氛圍與感官注意|attune to user needs|產品 / 使用者|attune yourself to nuance|學習 / 語感|attuned to change|管理 / 組織|校準感受,細緻對焦,adjust,users,nuance,verb,attune
bifurcate|bifurcate|verb|BY-fur-kayt · UK /ˈbaɪ.fə.keɪt/ · US /ˈbaɪ.fɚ.keɪt/|C2|2.36|split one path cleanly into two branches|不是模糊分散，而是從同一主線明確岔成兩路。|表示分岔、分成兩部分或兩個發展方向。|divide|分開|像河流撞到岩石後，水勢乾淨地分出左右兩道。|系統架構、流程分支與研究分類|bifurcate the flow|系統 / 架構|bifurcate into two paths|流程 / 設計|bifurcated market|市場 / 分析|分岔成兩路,雙向展開,divide,architecture,flow,verb,bifurcate
bottleneck|bottleneck|noun|BOT-l-nek · UK /ˈbɒt.əl.nek/ · US /ˈbɑː.t̬əl.nek/|C1|3.18|the narrow point that limits the whole flow|不是整體都慢，而是有一個特別窄的地方把整條線卡住。|表示限制吞吐量的瓶頸、狹口或阻塞點。|obstacle|阻礙|像沙漏不是每一粒沙都慢，而是中間那個細口決定速度。|系統效能、流程排程與資源配置|performance bottleneck|系統 / 效能|bottleneck in the pipeline|流程 / 工程|staffing bottleneck|管理 / 人力|瓶頸,狹口,obstacle,performance,pipeline,noun,bottleneck
bridle|bridle|verb|BRY-dl · UK /ˈbraɪ.dəl/ · US /ˈbraɪ.dəl/|C2|2.74|check a force before it runs too far|不是完全停掉，而是先把衝出去的力道拉住。|表示抑制、控制情緒、衝動或力量。|restrain|制住|像韁繩一拉，馬還有力，但方向和速度被收回來了。|情緒控制、風險限制與資源管理|bridle your anger|情緒 / 人際|bridle speculation|市場 / 政策|bridle the impulse|心理 / 決策|勒住力道,收住衝動,restrain,emotion,control,verb,bridle
capstone|capstone|noun|KAP-stohn · UK /ˈkæp.stəʊn/ · US /ˈkæp.stoʊn/|C1|2.89|the final piece that completes and crowns the structure|不是附加品，而是讓整體正式封頂的最後一塊。|表示總結性、收束性或最高層級的最後成果。|finale|收尾|像拱門最後放上的頂石，前面每一塊都在等它把力鎖住。|學習專題、產品收束與職涯里程碑|capstone project|學習 / 專題|capstone release|產品 / 專案|capstone achievement|職涯 / 成長|封頂之作,最後關鍵塊,finale,project,milestone,noun,capstone
